number,category,code,technical_label,n_full,count_coder1_full,count_coder2_full,prev_coder1_full,prev_coder2_full,percent_agree_full,cohens_kappa_full,scotts_pi_full,gwet_ac1_full,krippendorff_alpha_full,f1_agreement_full,n_training_phase,percent_agree_training_phase,cohens_kappa_training_phase,gwet_ac1_training_phase,krippendorff_alpha_training_phase,n_blind_phase,percent_agree_blind_phase,cohens_kappa_blind_phase,gwet_ac1_blind_phase,krippendorff_alpha_blind_phase
35,Artistic representation,cult_art,Cult_1_SUB,1000,29,25,0.029,0.025,0.984,0.696,0.695,0.968,0.695,0.704,600,0.983,0.575,0.967,0.575,400,0.985,0.792,0.97,0.792
36,Difficulty to host cultural or sports events,cult_event_impact,Cult_2_SUB,1000,11,0,0.011,0.0,0.989,0.0,-0.006,0.978,0.989,0.0,600,0.987,0.0,0.973,0.987,400,0.993,0.0,0.985,0.993
37,Loss of indigenous practices,cult_indigenous,Cult_3_SUB,1000,8,4,0.008,0.004,0.996,0.665,0.665,0.992,0.665,0.667,600,0.993,0.331,0.987,0.331,400,1.0,1.0,1.0,1.0
38,Carbon footprint of the cultural and sports sectors,cult_footprint,Cult_4_SUB,1000,4,2,0.004,0.002,0.998,0.666,0.666,0.996,0.666,0.667,600,0.997,0.665,0.993,0.665,400,1.0,,1.0,1.0
39,Presence of Messengers (Primary Category),messenger,Messenger_Detection,1000,613,681,0.613,0.681,0.868,0.712,0.711,0.736,0.711,0.898,600,0.843,0.647,0.687,0.643,400,0.905,0.801,0.81,0.801
40,Health expert,msg_health,Messenger_1_SUB,1000,40,39,0.04,0.039,0.985,0.802,0.802,0.97,0.802,0.81,600,0.985,0.822,0.97,0.822,400,0.985,0.762,0.97,0.762
41,Economic expert,msg_economic,Messenger_2_SUB,1000,60,74,0.06,0.074,0.96,0.68,0.68,0.92,0.68,0.701,600,0.965,0.702,0.93,0.702,400,0.953,0.652,0.905,0.653
42,Security expert,msg_security,Messenger_3_SUB,1000,22,18,0.022,0.018,0.98,0.49,0.49,0.96,0.49,0.5,600,0.982,0.512,0.963,0.513,400,0.978,0.46,0.955,0.46
43,Legal expert,msg_legal,Messenger_4_SUB,1000,26,23,0.026,0.023,0.985,0.686,0.686,0.97,0.686,0.694,600,0.978,0.57,0.957,0.57,400,0.995,0.886,0.99,0.886
44,Cultural or Sport expert,msg_cultural,Messenger_5_SUB,1000,39,52,0.039,0.052,0.971,0.666,0.666,0.942,0.666,0.681,600,0.972,0.639,0.943,0.639,400,0.97,0.699,0.94,0.699
45,Natural scientist,msg_scientist,Messenger_6_SUB,1000,92,121,0.092,0.121,0.925,0.607,0.606,0.85,0.606,0.648,600,0.913,0.552,0.827,0.552,400,0.943,0.692,0.885,0.691
46,Social scientist,msg_social,Messenger_7_SUB,1000,41,41,0.041,0.041,0.966,0.568,0.568,0.932,0.568,0.585,600,0.962,0.511,0.923,0.511,400,0.973,0.653,0.945,0.653
47,Activist,msg_activist,Messenger_8_SUB,1000,69,76,0.069,0.076,0.949,0.621,0.621,0.898,0.621,0.648,600,0.95,0.654,0.9,0.654,400,0.948,0.56,0.895,0.561
48,Public official,msg_official,Messenger_9_SUB,1000,222,231,0.222,0.231,0.863,0.609,0.609,0.726,0.609,0.698,600,0.853,0.593,0.707,0.592,400,0.877,0.636,0.755,0.636
49,Presence of Events (Primary Category),event,Event_Detection,1000,423,436,0.423,0.436,0.837,0.667,0.667,0.674,0.667,0.81,600,0.852,0.695,0.703,0.695,400,0.815,0.626,0.63,0.626
50,Extreme meteorological event,evt_weather,Event_1_SUB,1000,56,42,0.056,0.042,0.972,0.7,0.7,0.944,0.7,0.714,600,0.972,0.687,0.943,0.687,400,0.973,0.718,0.945,0.718
51,Meeting,evt_meeting,Event_2_SUB,1000,85,65,0.085,0.065,0.954,0.669,0.668,0.908,0.668,0.693,600,0.948,0.592,0.897,0.59,400,0.963,0.762,0.925,0.762
52,Publication,evt_publication,Event_3_SUB,1000,100,112,0.1,0.112,0.958,0.778,0.778,0.916,0.778,0.802,600,0.955,0.759,0.91,0.759,400,0.963,0.807,0.925,0.807
53,Election,evt_election,Event_4_SUB,1000,49,45,0.049,0.045,0.976,0.732,0.732,0.952,0.732,0.745,600,0.975,0.756,0.95,0.756,400,0.978,0.678,0.955,0.678
54,New policy,evt_policy,Event_5_SUB,1000,82,111,0.082,0.111,0.913,0.502,0.501,0.826,0.501,0.549,600,0.927,0.574,0.853,0.574,400,0.892,0.398,0.785,0.397
55,Judiciary decision,evt_judiciary,Event_6_SUB,1000,29,25,0.029,0.025,0.99,0.81,0.81,0.98,0.81,0.815,600,0.99,0.795,0.98,0.795,400,0.99,0.828,0.98,0.828
56,Cultural or Sports event,evt_cultural,Event_7_SUB,1000,40,35,0.04,0.035,0.981,0.737,0.737,0.962,0.737,0.747,600,0.987,0.811,0.973,0.811,400,0.973,0.632,0.945,0.631
57,Protest,evt_protest,Event_8_SUB,1000,38,28,0.038,0.028,0.984,0.749,0.749,0.968,0.749,0.758,600,0.983,0.697,0.967,0.698,400,0.985,0.805,0.97,0.805
58,Presence of Solutions (Primary Category),solution,Solutions_Detection,1000,247,188,0.247,0.188,0.897,0.699,0.697,0.794,0.697,0.763,600,0.9,0.725,0.8,0.723,400,0.892,0.65,0.785,0.649
59,Mitigation strategy,sol_mitigation,Solutions_1_SUB,1000,204,165,0.204,0.165,0.913,0.712,0.711,0.826,0.711,0.764,600,0.915,0.738,0.83,0.737,400,0.91,0.661,0.82,0.661
60,Adaptation strategy,sol_adaptation,Solutions_2_SUB,1000,45,32,0.045,0.032,0.973,0.636,0.635,0.946,0.635,0.649,600,0.975,0.681,0.95,0.681,400,0.97,0.556,0.94,0.556
61,Emotion: positive,tone_positive,Emotion:_Positive,1000,75,112,0.075,0.112,0.907,0.454,0.451,0.814,0.451,0.503,600,0.902,0.445,0.803,0.442,400,0.915,0.468,0.83,0.468
62,Emotion: negative,tone_negative,Emotion:_Negative,1000,316,361,0.316,0.361,0.795,0.543,0.542,0.59,0.542,0.697,600,0.795,0.528,0.59,0.527,400,0.795,0.561,0.59,0.561
63,Emotion: neutral,tone_neutral,Emotion:_Neutral,1000,601,522,0.601,0.522,0.723,0.441,0.437,0.446,0.437,0.753,600,0.715,0.422,0.43,0.416,400,0.735,0.468,0.47,0.468
64,Mention of Canada,canada,Location_Detection,1000,490,516,0.49,0.516,0.938,0.876,0.876,0.876,0.876,0.938,600,0.94,0.88,0.88,0.88,400,0.935,0.87,0.87,0.87
65,Urgency to act,urgency,RED_Detection,1000,48,6,0.048,0.006,0.956,0.176,0.163,0.912,0.163,0.185,600,0.962,0.248,0.923,0.239,400,0.948,0.083,0.895,0.061
